W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,Tavg,Trip_abs
-0.690047805,-0.015314222,-0.534782073,0.244729667,0.411759887,0.21025412,0.599706054,0.79357288,0.642211801,0.434773313,0.225142242,0.023283366,0.910651467,0.651930799,0.268937917,0.955173322,-0.252610977,-0.093337412,0.182244254,0.816898997,-0.447976114,-0.090656831,-0.743330841,147.7759796,25.11659408
0.320216605,-0.993107645,0.921927509,0.654918833,0.20613741,0.668215848,0.204852345,-0.203102035,-0.685918297,-0.650755414,0.2853034,-0.878004892,0.271213507,0.39583523,0.671101672,-0.040669354,0.341512168,-0.063010086,0.306046252,0.827390847,-0.447637116,-0.414836487,0.062104587,114.2889467,57.18289409
-0.125421065,0.21368122,0.310155703,0.402804068,-0.864279229,0.642119997,0.092613261,0.505027035,-0.073518603,0.261029474,0.209465928,0.199796876,-0.877629516,0.251840566,0.362561028,-0.001454995,0.66205541,-0.94100102,0.919922726,0.325599061,-0.514866657,-0.370826604,0.447599312,135.8818525,62.69771544
0.328871267,-0.469414689,0.181155565,0.44271188,-0.454827202,-0.238420893,0.88536283,0.926620173,0.533004088,-0.493136667,-0.940674189,-0.263202861,0.925290701,-0.31314782,-0.176594292,-0.646891213,-0.961360577,0.23669699,0.608835377,0.310411522,0.176585155,0.752253476,0.118127635,109.147678,31.31938134
-0.457217537,-0.848901126,0.055471201,0.839919309,0.303227521,0.838968038,-0.800829502,-0.830040711,-0.710388705,0.46795423,-0.520798403,0.993560511,-0.800866283,-0.069153107,-0.475148516,-0.676345669,0.698993039,-0.983828107,-0.162707497,0.573540376,-0.945518462,0.022997263,0.754855812,101.1746388,65.07472324
0.892175299,-0.619721023,0.439109329,-0.659693951,0.617921754,-0.469104659,-0.220958898,0.449695488,0.786866991,0.133594506,0.791285902,-0.172510541,-0.962567105,0.712501497,-0.724071632,0.852748652,0.232751206,-0.637751466,-0.765097038,0.188698056,0.223381224,0.462614655,0.68824225,141.7130753,104.9136593
0.613300564,0.457613723,0.562749151,0.666360081,-0.236238503,-0.916538265,-0.935147237,-0.263851697,0.946799258,-0.835766194,0.378929739,-0.607817525,0.989811577,-0.05451651,-0.706532754,0.552137503,0.863421134,0.513161772,0.238023786,0.139623331,0.149249464,0.343565015,-0.461911537,159.6888468,26.70264039
-0.559265967,0.809987628,-0.888904423,-0.199972753,-0.225976686,0.564877004,0.677083705,0.991490501,-0.424137847,-0.587989382,-0.676038082,0.629944581,0.390388061,0.562802203,-0.968973492,0.882059573,0.125405767,0.306586384,-0.894426771,-0.086952362,-0.773648742,0.139180434,-0.058290085,131.1894566,58.4961791
-0.069882154,-0.913603962,-0.531279084,0.307385609,0.033930617,-0.500169397,0.321232185,0.087379371,0.394949805,0.482050883,0.93476811,0.465766246,0.316416855,0.533280952,-0.684604197,-0.274755331,-0.413696394,0.409844698,-0.258500614,0.182182672,0.590145791,-0.007018986,0.348442026,151.567024,35.47116
0.217616875,0.641301957,0.096726399,0.667261583,0.965841952,-0.682493405,-0.126225469,0.002014539,-0.015990292,0.00343817,-0.953951402,-0.999367713,0.837945152,0.735653369,-0.243939994,0.892795647,-0.939320368,0.207222163,0.149128879,0.523249925,0.036088852,-0.554992661,-0.453228017,117.9751902,24.53870424
-0.150120101,-0.746317571,-0.555468781,-0.408526342,-0.653980157,0.508743529,0.103090097,0.95214328,-0.712372926,-0.285313558,0.699000608,-0.021354144,-0.176329912,0.81999204,0.650588513,-0.114797151,0.264392096,0.393176191,-0.972665693,-0.462211402,0.327521718,-0.224783123,0.865125066,127.9457499,31.4968537
-0.743194861,0.881656455,-0.853840092,-0.58126199,-0.329162629,0.43056247,0.420098529,-0.011905208,-0.487437729,-0.168293127,0.349595214,-0.992419459,-0.177753505,-0.816907549,0.381303519,-0.792721108,-0.206429699,0.444669551,-0.646604967,0.962470914,-0.317813486,-0.491655722,-0.246608149,97.7172913,87.85812229
-0.84915711,0.311747852,-0.516628898,0.088683434,0.800425928,-0.788564188,0.78914538,-0.592533825,0.738130811,-0.275814193,-0.093289397,-0.896033431,-0.017601151,-0.761035852,-0.432420007,-0.417154262,-0.447274794,0.93174001,-0.255398917,0.868145003,0.92317748,-0.362343386,0.682443189,116.6948205,54.68666852
-0.259023107,-0.723469543,-0.099116563,-0.601191606,0.051622667,-0.964379899,0.915619759,-0.102375248,0.758289687,-0.099675356,0.30429514,0.230683697,0.273101073,0.540494427,-0.79643471,-0.971533529,-0.45549999,0.307042529,0.88930146,0.209100935,-0.369683252,-0.094479889,-0.895625883,126.8879923,35.28518559
0.188432417,-0.701277992,0.641473009,0.153670656,-0.192022279,-0.26833676,0.649233461,-0.192748787,-0.340689488,0.119484892,0.733054738,0.626269245,-0.276339021,0.555717388,-0.496579692,-0.036369794,-0.757168927,-0.818636321,0.429002912,0.847753888,0.557753696,0.260928848,-0.715032177,135.5998896,64.67232467
0.268243001,-0.652890115,-0.836142311,0.488223139,-0.970755853,-0.514205922,-0.867266502,-0.311132376,-0.258077867,0.912018614,0.441488148,0.803412889,0.783015774,0.379684136,0.819277703,0.045135685,-0.92268848,0.151153476,0.022065701,-0.574305351,0.175983367,0.751266705,-0.422425604,116.482877,60.90146373
-0.476636498,0.872640237,-0.866143562,0.308706816,0.902141853,-0.383496899,-0.625494906,0.350880997,-0.930792477,0.07494119,0.661971761,-0.628622247,0.041647118,0.4676559,0.610077095,0.218864575,0.283439971,-0.347363693,0.683272719,0.215399188,0.959608944,0.982164945,0.5729892,124.9698997,57.59729822
-0.373622359,-0.128612089,-0.218351001,-0.436171722,-0.864459681,-0.643453892,0.473869915,0.073500443,0.599830771,0.565559813,0.857962992,0.915575202,0.655156836,-0.619292609,0.453714832,0.973442712,-0.326012168,-0.736382843,-0.346736309,0.97253125,-0.684099734,-0.654758819,-0.827144172,143.9289209,84.0323875
-0.121864084,0.408960918,0.919075881,0.499659587,0.982682369,0.371033499,-0.328475357,-0.773303125,-0.993929078,-0.573734762,-0.40491557,0.216650424,0.974490931,0.115890341,0.944855543,0.930334393,0.585900666,-0.043963811,-0.99954826,-0.671678863,0.76943142,-0.88726229,0.169269734,111.9287011,87.4560179
-0.411530358,0.03781521,-0.051578261,0.609877075,-0.120763003,0.983845684,-0.433621871,0.446500101,-0.673854885,-0.470798263,0.93162023,0.451909176,0.270877858,-0.545342865,-0.22688093,0.701595881,0.164713144,0.060611998,0.172973451,-0.146091885,-0.407832285,-0.697034159,-0.684181592,132.2813089,70.60518738
0.334845816,-0.977561657,-0.595339674,0.369953373,0.818144001,-0.925090215,0.88204819,-0.584754031,0.376065075,-0.999354973,-0.774754191,0.646826475,0.202333653,0.16023743,-0.045974601,-0.421037506,0.111646573,-0.415262392,-0.00237857,0.974053371,0.353152409,0.924289867,-0.800409283,126.3701061,25.96983284
-0.68534751,0.635298951,-0.490944287,-0.759337402,0.802536284,-0.952344199,-0.051017794,-0.848449692,0.288752791,-0.512047507,-0.295228802,-0.39127781,-0.730095054,0.460671363,-0.50456365,-0.486045295,0.570982647,-0.161592776,0.473140102,0.014771034,-0.966489122,-0.225809088,-0.985394919,110.6656592,45.84838277
